#data for Fig. 1 Science 2017 paper
# ra(bin center) N/<N> Sigma(N/<N>)
 15 1.029 0.020
 45 1.051 0.020
 75 1.029 0.020
105 1.014 0.019
135 1.030 0.020
165 1.038 0.020
195 1.011 0.019
225 0.982 0.019
255 0.959 0.019
285 0.931 0.019
315 0.961 0.019
345 0.964 0.019
